,count_A,count_B,ratio_A,ratio_B,log2_fold
CST,2303,613,0.0011256313041831311,0.0002996144114047266,1.9095554321003372
CTC,3770,9191,0.0018426530685061605,0.00449226110149535,-1.2856573147942387
CTD,235,74,0.00011486033716198288,3.6168787021555006e-05,1.667063580922693
CTE,146,359,7.136003925826809e-05,0.00017546749379187765,-1.2980154749371715
CTG,535,181,0.0002614905548149541,8.846689798444806e-05,1.56354919420003
CTH,496,351,0.00024242862652006783,0.00017155735465446508,0.49886909008111296
CTS,1938,1529,0.0009472312060386828,0.0007473253426384654,0.34198016405407733
CTT,27378,17882,0.013381473663010643,0.008740138506901926,0.6145089568366755
DBC,16,1,7.820278275313899e-06,4.887673926653382e-07,3.999999998647473
DBD,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
DCB,9,4,4.398906530077904e-06,1.9550695691950503e-06,1.1699250012419382
DCC,14850,17826,0.0072581957738225645,0.008712767532940039,-0.26352007998106397
DCD,7069,8071,0.0034550966952966674,0.003944841622257591,-0.19124129314976943
DCE,465,321,0.00022727683736259414,0.00015689433288916795,0.5346574188716988
DCG,24,4,1.1730417412726465e-05,1.9550695691950503e-06,2.5849625004205947
DCH,1443,1275,0.0007052913469112803,0.0006231784250256164,0.17857405274484603
DCS,178,22,8.700059580791836e-05,1.0752882628373324e-05,3.0163018122716285
DCT,211,34,0.00010312991974974519,1.661809133449217e-05,2.633636347421251
DDB,9,0,4.398906530077904e-06,4.887673921765707e-16,33.06727785558887
DDC,15802,17109,0.00772350233117466,0.008362321312749438,-0.11464827207082967
DDD,330767,287952,0.16166812400806826,0.14074154811202838,0.19998696426998272
DDE,390,173,0.00019061928294935134,8.45567588470355e-05,1.172702086108246
DDG,65,17,3.1769880491965864e-05,8.30904566749047e-06,1.934904971715446
DDH,4573,3325,0.002235133284423947,0.0016251515789875864,0.459786578530931
DDI,3,0,1.4663021770184795e-06,4.887673921765707e-16,31.482315355188316
DDS,365,69,0.00017840009814493708,3.3724950060672146e-05,2.403228196972255
DDT,391,99,0.0001911080503415279,4.838797182596927e-05,1.9816681772168596
DEC,98,68,4.78992044337927e-05,3.3236182668495576e-05,0.527247002858374
DED,203,96,9.921978061233261e-05,4.692166964943956e-05,1.0803734164560985
DEE,432,184,0.00021114751342076732,8.993320016097778e-05,1.2313255461019545
DEH,21,4,1.0264115236196753e-05,1.9550695691950503e-06,2.3923174224867862
DES,24,1,1.1730417412726465e-05,4.887673926653382e-07,4.584962499338573
DET,19,0,9.28658045184361e-06,4.887673921765707e-16,34.14528036750578
DGC,31,21,1.515178915796246e-05,1.0264115236196753e-05,0.5618788875859536
DGD,49,13,2.3949602217140732e-05,6.3539760987841865e-06,1.9142701258925823
DGG,73,24,3.5680019629378435e-05,1.1730417412726465e-05,1.604862058118512
DGH,16,4,7.820278275313899e-06,1.9550695691950503e-06,1.9999999997294946
DGS,2,1,9.77534784841909e-07,4.887673926653382e-07,0.9999999992786525
DGT,9,0,4.398906530077904e-06,4.887673921765707e-16,33.06727785558887
DHC,357,324,0.00017448995900752452,0.00015836063506569767,0.1399302611440636
DHD,2756,1856,0.0013470429328391177,0.000907152279880204,0.5703791775764654
DHE,12,10,5.865208706607616e-06,4.887673922254475e-06,0.26303440580974885
DHG,10,5,4.887673922254475e-06,2.4438369613716212e-06,0.9999999998557305
DHH,4865,3554,0.0023778533629395054,0.0017370793117960212,0.45299612363968633
